 2	0	0	3	1	1	0	0	1	1	5.101500409288033	1430000.0
 2	1	1	3	1	1	0	0	1	1	5.064723132194833	194065555555.55554
 2	1	1	1	1	1	0	0	1	1	5.038726220559875	65500000000000.0
 3	1	1	3	1	1	0	0	1	1	4.304297061642747	61666666666.666664
 3	1	1	1	1	1	0	0	1	1	4.299149135862414	20300000000000.0
 4	1	1	1	1	1	0	0	1	1	4.088500918656079	7530000000000.0
 5	1	1	1	1	1	0	0	1	1	3.997760155546703	3820000000000.0
 6	1	1	1	1	1	0	0	1	1	3.950118939162457	2190000000000.0
 7	1	1	1	1	1	0	0	1	1	3.9219336120404145	1380000000000.0
 8	1	1	1	1	1	0	0	1	1	3.9038530148105877	921000000000.0
 9	1	1	1	1	1	0	0	1	1	3.8915525614328534	645000000000.0
10	1	1	1	1	1	0	0	1	1	3.882801371441583	470000000000.0
 2	1	1	3	1	 2	0	0	3	1	702.5448639480572	226222222.22222224
 2	1	1	1	1	 2	0	0	3	1	409.4846050148326	10000000.0
 3	1	1	3	1	 2	0	0	3	1	27.5442561631566	1092222222222.2222
 4	1	1	3	1	 2	0	0	3	1	20.638333992346855	505555555555.55554
 3	0	0	3	1	 2	1	1	3	1	28.996037485602592	361200000000.0
 3	2	2	3	1	 2	1	1	3	1	28.482464933614498	2662666666666.6665
 4	2	2	3	1	 2	1	1	3	1	21.220545101642802	904000000000.0
 2	1	1	1	1	 2	0	0	1	1	991.9416547835548	81700000.0
 3	1	1	1	1	 2	0	0	1	1	28.449960849839467	1130000000000.0
 4	1	1	1	1	 2	0	0	1	1	21.216245904089693	488000000000.0
 3	0	0	1	1	 2	1	1	1	1	29.54383039094712	418000000000.0
 3	2	2	1	1	 2	1	1	1	1	29.31769752037242	2800000000000.0
 4	2	2	1	1	 2	1	1	1	1	21.685903557659145	1030000000000.0
 4	1	1	3	1	 3	0	0	3	1	79.72793085621491	152555555555.55554
 4	1	1	1	1	 3	0	0	1	1	81.44945044435485	150000000000.0
 4	2	2	3	1	 3	1	1	3	1	81.68379906976918	295800000000.0
 4	2	2	1	1	 3	1	1	1	1	83.53105784778514	360000000000.0
 2	0	0	1	1	 2	0	0	3	1	717.3813451399959	2.693
 2	0	0	1	1	 2	1	1	3	1	838812.2977560261	647.5
11	1	1	1	1	1	0	0	1	1	3.890069393284535	683500000000.0
12	1	1	1	1	1	0	0	1	1	3.8851482983271235	624200000000.0
13	1	1	1	1	1	0	0	1	1	3.881326828177746	624100000000.0
14	1	1	1	1	1	0	0	1	1	3.8782997315141436	734700000000.0
15	1	1	1	1	1	0	0	1	1	3.8758608564787296	1375000000000.0
 5	1	1	3	1	 2	0	0	3	1	18.586119274700206	244200000000.0
 6	1	1	3	1	 2	0	0	3	1	17.59335878076899	138300000000.0
 7	1	1	3	1	 2	0	0	3	1	17.044925718636318	84740000000.0
 8	1	1	3	1	 2	0	0	3	1	16.707153443885623	55180000000.0
 9	1	1	3	1	 2	0	0	3	1	16.48331261317892	37250000000.0
10	1	1	3	1	 2	0	0	3	1	16.326909589707434	25810000000.0
11	1	1	3	1	 2	0	0	3	1	16.21312387938279	18120000000.0
12	1	1	3	1	 2	0	0	3	1	16.127660091791157	12640000000.0
