    15    1    1    2    1    1    0    0    2    1       9.1430787202904398     578948060.34791064     
    15    1    1    2    1    2    0    0    2    1       37.068771644254454     84700926.596708104     
    15    0    0    2    1    2    1    1    2    1       37.068771644254454     21269763.933325209     
    15    2    2    2    1    2    1    1    2    1       37.068771644254454     137974360.06703800     
    15    1    1    2    1    3    0    0    2    1       85.335401389377438     28496971.468420763     
    15    0    0    2    1    3    1    1    2    1       85.335401389377438     14128904.357182404     
    15    2    2    2    1    3    1    1    2    1       85.335401389377438     51091108.933376797     
    15    1    1    2    1    3    2    2    2    1       85.335401389377438     1926512.4032193597     
    15    3    3    2    1    3    2    2    2    1       85.335401389377438     45617061.547657438     
    15    1    1    2    1    4    0    0    2    1       156.78848867713367     13374705.421500010     
    15    0    0    2    1    4    1    1    2    1       156.78848867713367     9440905.0335891116     
    15    2    2    2    1    4    1    1    2    1       156.78848867713367     23938367.928264983     
    15    1    1    2    1    4    2    2    2    1       156.78848867713367     2086369.1311683231     
    15    3    3    2    1    4    2    2    2    1       156.78848867713367     28117294.494703192     
    15    2    2    2    1    4    3    3    2    1       156.78848867713367     366110.60539976496     
    15    4    4    2    1    4    3    3    2    1       156.78848867713367     17937667.939203463     
    15    1    1    2    1    5    0    0    2    1       256.00620416813229     7514759.5181550458     
    15    0    0    2    1    5    1    1    2    1       256.00620416813229     6655878.9645947767     
    15    2    2    2    1    5    1    1    2    1       256.00620416813229     13190150.945410594     
    15    1    1    2    1    5    2    2    2    1       256.00620416813229     1870419.1546501021     
    15    3    3    2    1    5    2    2    2    1       256.00620416813229     16960665.489646554     
    15    2    2    2    1    5    3    3    2    1       256.00620416813229     540507.65655712760     
    15    4    4    2    1    5    3    3    2    1       256.00620416813229     15635446.531287739     
    15    3    3    2    1    5    4    4    2    1       256.00620416813229     96185.248073995608     
    15    5    5    2    1    5    4    4    2    1       256.00620416813229     7995398.8004405331     
    15    1    1    2    1    6    0    0    2    1       390.10469206572543     4728248.5960401865     
    15    0    0    2    1    6    1    1    2    1       390.10469206572543     4929227.1507927757     
    15    2    2    2    1    6    1    1    2    1       390.10469206572543     8110645.9623764222     
    15    1    1    2    1    6    2    2    2    1       390.10469206572543     1612024.1427804364     
    15    3    3    2    1    6    2    2    2    1       390.10469206572543     10813008.781840518     
    15    2    2    2    1    6    3    3    2    1       390.10469206572543     598628.39997754095     
    15    4    4    2    1    6    3    3    2    1       390.10469206572543     11543984.534292277     
    15    3    3    2    1    6    4    4    2    1       390.10469206572543     178665.75646463843     
    15    5    5    2    1    6    4    4    2    1       390.10469206572543     9046885.2106290832     
    15    4    4    2    1    6    5    5    2    1       390.10469206572543     31413.029854289332     
    15    6    6    2    1    6    5    5    2    1       390.10469206572543     3976649.8777592611     
    15    1    1    2    1    7    0    0    2    1       570.19563655629474     3208796.5450784960     
    15    0    0    2    1    7    1    1    2    1       570.19563655629474     3789175.8719156035     
    15    2    2    2    1    7    1    1    2    1       570.19563655629474     5383804.7362222364     
    15    1    1    2    1    7    2    2    2    1       570.19563655629474     1380099.2792936105     
    15    3    3    2    1    7    2    2    2    1       570.19563655629474     7284230.3184538474     
    15    2    2    2    1    7    3    3    2    1       570.19563655629474     601501.85360839928     
    15    4    4    2    1    7    3    3    2    1       570.19563655629474     8373043.4829621073     
    15    3    3    2    1    7    4    4    2    1       570.19563655629474     233670.02205365326     
    15    5    5    2    1    7    4    4    2    1       570.19563655629474     7901556.0982880713     
    15    4    4    2    1    7    5    5    2    1       570.19563655629474     70217.223893392918     
    15    6    6    2    1    7    5    5    2    1       570.19563655629474     5543938.3795542652     
    15    5    5    2    1    7    6    6    2    1       570.19563655629474     12244.043005811054     
    15    7    7    2    1    7    6    6    2    1       570.19563655629474     2204986.2793394667     
    15    1    1    2    1    8    0    0    2    1       814.13153126760108     2541481.8825402646     
    15    0    0    2    1    8    1    1    2    1       814.13153126760108     3475644.6983793713     
    15    2    2    2    1    8    1    1    2    1       814.13153126760108     4049670.2173232646     
    15    1    1    2    1    8    2    2    2    1       814.13153126760108     1383039.8843505541     
    15    3    3    2    1    8    2    2    2    1       814.13153126760108     5338208.4865708146     
    15    2    2    2    1    8    3    3    2    1       814.13153126760108     667748.90634662576     
    15    4    4    2    1    8    3    3    2    1       814.13153126760108     6228234.2163685327     
    15    3    3    2    1    8    4    4    2    1       814.13153126760108     296458.33017319196     
    15    5    5    2    1    8    4    4    2    1       814.13153126760108     6383135.1146895690     
    15    4    4    2    1    8    5    5    2    1       814.13153126760108     110659.50559814522     
    15    6    6    2    1    8    5    5    2    1       814.13153126760108     5498804.2520718761     
    15    5    5    2    1    8    6    6    2    1       814.13153126760108     31158.417475483326     
    15    7    7    2    1    8    6    6    2    1       814.13153126760108     3596145.5319329533     
    15    6    6    2    1    8    7    7    2    1       814.13153126760108     5105.8578117663619     
    15    8    8    2    1    8    7    7    2    1       814.13153126760108     1358929.3848164228     
    15    1    1    2    1    9    0    0    2    1       1152.0279187565955     556026.92866682180     
    15    0    0    2    1    9    1    1    2    1       1152.0279187565955     297273.78832871525     
    15    2    2    2    1    9    1    1    2    1       1152.0279187565955     1433242.7079773585     
    15    1    1    2    1    9    2    2    2    1       1152.0279187565955     110502.69847036642     
    15    3    3    2    1    9    2    2    2    1       1152.0279187565955     2862444.8998695547     
    15    2    2    2    1    9    3    3    2    1       1152.0279187565955     91928.656679429361     
    15    4    4    2    1    9    3    3    2    1       1152.0279187565955     4702647.5744665395     
    15    3    3    2    1    9    4    4    2    1       1152.0279187565955     112589.44957447116     
