          
E(eV/u)       3s            3p            3d            4s           4p          4d              4f          5s            5p            5d             5f          5g       n=3            n=4         n=5         total

0.10546	2.14377E-7	1.45143E-5	1.11044E-4	0.16253	0.4079	0.49262	10.77902	0.53891	0.65097	0.05886	4.18753E-4	0.00574	1.25773E-4	11.84207	1.2549	13.09709
0.21092	6.23374E-7	1.04934E-5	9.98527E-5	0.16987	0.55011	0.66165	8.90063	0.3651	0.46161	0.04087	3.15621E-4	0.00404	1.10969E-4	10.28226	0.87194	11.15431
0.31639	8.6976E-7	8.61425E-6	7.57218E-5	0.15076	0.54062	0.91441	7.8349	0.29909	0.37312	0.03327	2.69357E-4	0.00327	8.52058E-5	9.44069	0.70902	10.14979
0.42185	1.00148E-6	6.89258E-6	5.75318E-5	0.12955	0.47748	1.21369	6.72537	0.25967	0.32228	0.02884	2.36016E-4	0.00282	6.54259E-5	8.54609	0.61385	9.16
0.52731	1.98834E-6	6.3232E-6	5.13222E-5	0.11717	0.44947	1.55811	5.69379	0.2314	0.28845	0.02586	2.11736E-4	0.00253	5.96337E-5	7.81854	0.54845	8.36705
0.63277	3.48725E-6	6.73737E-6	5.43142E-5	0.10183	0.4513	1.94781	4.91202	0.21124	0.26296	0.02366	1.91781E-4	0.00231	6.45388E-5	7.41296	0.50036	7.91339
0.73824	4.24613E-6	7.25926E-6	5.58329E-5	0.08957	0.4402	2.363	4.43063	0.19563	0.2436	0.02191	1.7648E-4	0.00214	6.73383E-5	7.3234	0.46346	7.78692
0.8437	4.36804E-6	8.12315E-6	5.64324E-5	0.07944	0.41869	2.77996	4.19758	0.18379	0.22762	0.02046	1.63819E-4	0.002	6.89236E-5	7.47567	0.43403	7.90977
0.94916	4.34601E-6	8.96734E-6	5.95133E-5	0.07252	0.4066	3.1772	4.10626	0.17309	0.2143	0.01926	1.53507E-4	0.00189	7.28267E-5	7.76258	0.40869	8.17135
1.26555	4.2768E-6	1.0238E-5	6.18351E-5	0.0623	0.37214	4.18366	3.8493	0.15151	0.18582	0.01656	1.31194E-4	0.00165	7.63499E-5	8.4674	0.35567	8.82315
1.58194	4.35712E-6	1.10513E-5	6.20809E-5	0.06826	0.36306	4.72605	3.34518	0.13727	0.16625	0.01475	1.16096E-4	0.00148	7.74893E-5	8.50255	0.31987	8.82249
2.10925	4.26297E-6	1.15983E-5	5.70849E-5	0.10305	0.47844	4.75181	2.91261	0.12156	0.14387	0.01278	1.00924E-4	0.00128	7.29462E-5	8.24591	0.27959	8.52557
3.16388	4.34601E-6	1.0574E-5	4.52759E-5	0.22361	1.26648	3.99347	2.68769	0.104	0.11748	0.01037	9.30836E-5	0.00105	6.01959E-5	8.17125	0.23299	8.4043
4.2185	5.78875E-6	8.51609E-6	3.72058E-5	0.35392	2.69882	4.15517	2.39863	0.09449	0.10194	0.0089	1.01201E-4	9.07544E-4	5.15106E-5	9.60654	0.20634	9.81293
5.27313	7.22246E-6	8.33481E-6	3.89269E-5	0.48468	4.27213	4.72938	2.3099	0.08796	0.09125	0.00789	1.22119E-4	8.11817E-4	5.44842E-5	11.79609	0.18803	11.98418
6.32775	8.00659E-6	9.84281E-6	4.82402E-5	0.61147	5.52978	5.38053	2.26265	0.08354	0.08337	0.00711	1.54509E-4	7.43052E-4	6.60896E-5	13.78443	0.17492	13.95941
7.38237	8.13726E-6	1.23338E-5	5.89556E-5	0.72496	6.3575	6.25497	2.20449	0.08004	0.07723	0.00648	1.96111E-4	6.90624E-4	7.94267E-5	15.54192	0.16464	15.70664
8.437	9.59332E-6	1.58019E-5	7.07614E-5	0.83078	7.03172	7.49465	2.1392	0.07744	0.07214	0.00601	2.46181E-4	6.48233E-4	9.61566E-5	17.49635	0.15648	17.65293
