E(eV/u) 7s          7p         7d           7f               7g          n=7
150	0.00355	0.01189	0.00612	0.00249	0.00496	0.02901
200	0.00263	0.01819	0.0054	0.0022	0.00436	0.03278
300	0.00197	0.0299	0.00487	0.00197	0.00244	0.04116
500	0.00217	0.04114	0.00706	0.00295	0.00191	0.05523
700	0.00416	0.03557	0.01086	0.00706	0.00222	0.05987
1000	0.00859	0.0421	0.015	0.01172	0.00369	0.0811
1500	0.01	0.0333	0.018	0.02883	0.01082	0.10095
2000	0.0132	0.022	0.02	0.03	0.02213	0.10733
3000	0.0141	0.01839	0.02346	0.033	0.03346	0.12241
5000	0.01	0.02663	0.02534	0.03818	0.041	0.14115
7000	0.00684	0.02769	0.03001	0.06082	0.05583	0.18119
10000	0.008	0.02994	0.041	0.067	0.06295	0.20889
15000	0.0146	0.03852	0.07883	0.08535	0.07865	0.29595
20000	0.0252	0.067	0.13743	0.20197	0.15922	0.59082
30000	0.0484	0.1281	0.2933	0.39248	0.36265	1.22493
50000	0.0495	0.1589	0.3071	0.5285	0.52653	1.57053
70000	0.041	0.0927	0.27551	0.38396	0.38203	1.1752
100000	0.0324	0.06133	0.18189	0.20294	0.17547	0.65403
200000	0.00204	0.01972	0.01717	0.02182	0.01073	0.07148
300000	3.93136E-4	0.00194	0.00374	0.0042	0.00132	0.01159
400000	1.33201E-4	6.56951E-4	0.00111	9.0223E-4	6.55227E-5	0.00287
500000	5.70068E-5	2.76483E-4	4.171E-4	2.20743E-4	1.26682E-6	9.726E-4
800000	9.57152E-6	4.06789E-5	4.2368E-5	3.09667E-6	0	9.57151E-5
1000000	4.78576E-6	1.70317E-5	1.15421E-5	1.40758E-7	0	3.35003E-5
